# Test: 1 MILLÓN
# Timestamp: 2025-11-30T04:30:46.951546900
# Datagramas procesados: 781,859
# Tiempo procesamiento: 1,272,607 ms
# Resultados válidos: 127/127
arc_id,velocity_m_s,velocity_km_h,sample_count,line_id,timestamp
ARC_982_516092_516094,1.4789,5.3240,1,982,2025-11-30T04:30:46.9625661
ARC_53_514427_514427,2.6496,9.5386,1,53,2025-11-30T04:30:46.9625661
ARC_1036_519155_519155,27.2250,98.0100,1,1036,2025-11-30T04:30:46.9625661
ARC_100_517121_517121,9.2593,33.3334,1,100,2025-11-30T04:30:46.9625661
ARC_217_514176_514176,10.0277,36.0998,1,217,2025-11-30T04:30:46.9625661
ARC_748_514313_514313,30.0000,108.0000,1,748,2025-11-30T04:30:46.9625661
ARC_488_514343_514343,3.1468,11.3284,1,488,2025-11-30T04:30:46.9625661
ARC_197_515043_515043,4.7134,16.9684,1,197,2025-11-30T04:30:46.9625661
ARC_392_516275_516275,30.0000,108.0000,1,392,2025-11-30T04:30:46.9625661
ARC_325_515118_515118,22.0000,79.2000,1,325,2025-11-30T04:30:46.9625661
ARC_569_519141_519141,30.0000,108.0000,1,569,2025-11-30T04:30:46.9625661
ARC_903_516050_516050,7.6034,27.3724,1,903,2025-11-30T04:30:46.9625661
ARC_746_514344_514344,48.3758,174.1528,1,746,2025-11-30T04:30:46.9625661
ARC_122_519048_519048,4.0000,14.4000,1,122,2025-11-30T04:30:46.9625661
ARC_105_515190_515190,5.0434,18.1564,1,105,2025-11-30T04:30:46.9625661
ARC_183_513276_513276,30.0000,108.0000,1,183,2025-11-30T04:30:46.9625661
ARC_684_519165_502401,7.3139,26.3299,1,684,2025-11-30T04:30:46.9625661
ARC_633_514491_514491,4.5586,16.4108,1,633,2025-11-30T04:30:46.9625661
ARC_720_500150_500150,12.3792,44.5652,1,720,2025-11-30T04:30:46.9625661
ARC_216_513134_513134,11.3658,40.9170,1,216,2025-11-30T04:30:46.9625661
ARC_350_513048_513251,4.1001,14.7602,1,350,2025-11-30T04:30:46.9625661
ARC_438_518061_518061,49.2297,177.2269,1,438,2025-11-30T04:30:46.9625661
ARC_372_519142_519142,8.9031,32.0513,1,372,2025-11-30T04:30:46.9635645
ARC_9_513292_513292,11.9918,43.1705,1,9,2025-11-30T04:30:46.9635645
ARC_312_515030_515030,0.0133,0.0477,1,312,2025-11-30T04:30:46.9635645
ARC_69_502400_512001,23.3595,84.0941,1,69,2025-11-30T04:30:46.9635645
ARC_717_502351_502351,43.7955,157.6638,1,717,2025-11-30T04:30:46.9635645
ARC_3_514257_514257,2.1059,7.5812,1,3,2025-11-30T04:30:46.9635645
ARC_423_510042_510629,0.6715,2.4175,1,423,2025-11-30T04:30:46.9635645
ARC_974_519035_519035,27.0000,97.2000,1,974,2025-11-30T04:30:46.9635645
ARC_453_519097_519097,30.7544,110.7158,1,453,2025-11-30T04:30:46.9635645
ARC_608_500151_500151,17.0024,61.2088,1,608,2025-11-30T04:30:46.9635645
ARC_974_513119_513119,5.9109,21.2793,1,974,2025-11-30T04:30:46.9635645
ARC_765_514246_514246,7.6200,27.4321,1,765,2025-11-30T04:30:46.9635645
ARC_853_511234_511011,2.2539,8.1139,1,853,2025-11-30T04:30:46.9635645
ARC_432_515015_515015,10.7507,38.7025,1,432,2025-11-30T04:30:46.9635645
ARC_432_515020_515020,36.0031,129.6113,1,432,2025-11-30T04:30:46.9635645
ARC_9_519035_519035,20.0000,72.0000,1,9,2025-11-30T04:30:46.9635645
ARC_555_513257_513257,10.6532,38.3514,1,555,2025-11-30T04:30:46.9635645
ARC_257_501101_501101,6.9380,24.9769,1,257,2025-11-30T04:30:46.9649139
ARC_311_515062_515046,6.5438,23.5577,1,311,2025-11-30T04:30:46.9649139
ARC_216_513133_513133,8.0814,29.0930,1,216,2025-11-30T04:30:46.9649139
ARC_954_519289_519289,13.3105,47.9180,1,954,2025-11-30T04:30:46.9649139
ARC_783_514466_514044,5.9732,21.5034,1,783,2025-11-30T04:30:46.9649139
ARC_514_516217_516217,23.8052,85.6989,1,514,2025-11-30T04:30:46.9649139
ARC_812_501150_501150,3.8597,13.8951,1,812,2025-11-30T04:30:46.9649139
ARC_380_514067_514067,10.3836,37.3809,1,380,2025-11-30T04:30:46.9659148
ARC_821_513148_513148,13.1198,47.2314,1,821,2025-11-30T04:30:46.9659148
ARC_442_514053_514053,8.6298,31.0674,1,442,2025-11-30T04:30:46.9659148
ARC_335_500163_500163,4.0000,14.4000,1,335,2025-11-30T04:30:46.9659148
ARC_418_514055_514055,16.4376,59.1753,1,418,2025-11-30T04:30:46.9659148
ARC_420_517247_517165,7.2647,26.1529,1,420,2025-11-30T04:30:46.9659148
ARC_1011_519138_519138,27.7146,99.7724,1,1011,2025-11-30T04:30:46.9659148
ARC_11_511313_511313,10.5921,38.1314,1,11,2025-11-30T04:30:46.9659148
ARC_1082_513263_513263,29.6804,106.8494,1,1082,2025-11-30T04:30:46.9659148
ARC_217_514068_514068,3.3817,12.1741,1,217,2025-11-30T04:30:46.9659148
